,word,value
1344,forgotten,-1
1345,fortune,2
1346,fortunate,2
1347,fortunately,2
1348,foul,-3
1349,frantic,-1
1350,fraud,-4
1351,frauds,-4
1352,fraudster,-4
1353,fraudsters,-4
1354,fraudulence,-4
1355,fraudulent,-4
1356,freak,-2
1357,free,1
1358,freedom,2
1359,freedoms,2
1360,frenzy,-3
1361,fresh,1
1362,friend,1
1363,friendliness,2
1364,friendly,2
1365,friendship,2
1366,fright,-2
1367,frightened,-2
1368,frightening,-3
1369,frikin,-2
1370,frisky,2
1371,frowning,-1
1372,fruitless,-2
1373,frustrate,-2
1374,frustrated,-2
1375,frustrates,-2
1376,frustrating,-2
1377,frustration,-2
1378,ftw,3
1379,fuck,-4
1380,fucked,-4
1381,fucker,-4
1382,fuckers,-4
1383,fuckface,-4
1384,fuckhead,-4
1385,fuckin,-4
1386,fucking,-4
1387,fucking amazing,4
1388,fucking beautiful,4
1389,fucking cute,4
1390,fucking fantastic,4
1391,fucking good,4
1392,fucking great,4
1393,fucking hot,2
1394,fucking love,4
1395,fucking loves,4
1396,fucking perfect,4
1397,fucktard,-4
1398,fud,-3
1399,fuked,-4
1400,fuking,-4
1401,fulfill,2
1402,fulfilled,2
1403,fulfillment,2
1404,fulfills,2
1405,fuming,-2
1406,fun,4
1407,funeral,-1
1408,funerals,-1
1409,funky,2
1410,funnier,4
1411,funny,4
1412,furious,-3
1413,futile,-2
1414,gag,-2
1415,gagged,-2
1416,gain,2
1417,gained,2
1418,gaining,2
1419,gains,2
1420,gallant,3
1421,gallantly,3
1422,gallantry,3
1423,game-changing,3
1424,garbage,-1
1425,gem,3
1426,generous,2
1427,generously,2
1428,genial,3
1429,ghastly,-2
1430,ghost,-1
1431,giddy,-2
1432,gift,2
1433,glad,3
1434,glamorous,3
1435,glamourous,3
1436,glee,3
1437,gleeful,3
1438,gloom,-1
1439,gloomy,-2
1440,glorious,2
1441,glory,2
1442,glum,-2
1443,god,1
1444,goddamn,-3
1445,godsend,4
1446,gold,2
1447,good,3
1448,goodlooking,3
1449,goodmorning,1
1450,goodness,3
1451,goodwill,3
1452,goofiness,-2
1453,goofy,-2
1454,grace,1
1455,graceful,2
1456,gracious,3
1457,grand,3
1458,grant,1
1459,granted,1
1460,granting,1
1461,grants,1
1462,grateful,3
1463,gratification,2
1464,grave,-2
1465,gray,-1
1466,grisly,-2
1467,gr8,3
1468,great,3
1469,greater,3
1470,greatest,3
1471,greed,-3
1472,greedy,-2
1473,green wash,-3
1474,green washing,-3
1475,greenwash,-3
1476,greenwasher,-3
1477,greenwashers,-3
1478,greenwashing,-3
1479,greet,1
1480,greeted,1
1481,greeting,1
1482,greetings,2
1483,greets,1
1484,grey,-1
1485,grief,-2
1486,grieved,-2
1487,grim,-2
1488,gripping,2
1489,groan,-2
1490,groaned,-2
1491,groaning,-2
1492,groans,-2
1493,gross,-2
1494,growing,1
1495,growth,2
1496,growths,2
1497,gruesome,-3
1498,guarantee,1
1499,guilt,-3
1500,guilty,-3
1501,gullibility,-2
1502,gullible,-2
1503,gun,-1
1504,ha,2
1505,hacked,-1
1506,haha,3
1507,hahaha,3
1508,hahahah,3
1509,hail,2
1510,hailed,2
1511,hallelujah,3
1512,handpicked,1
1513,handsome,3
1514,hapless,-2
1515,haplessness,-2
1516,happiest,3
1517,happiness,3
1518,happy,3
1519,harass,-3
1520,harassed,-3
1521,harasses,-3
1522,harassing,-3
1523,harassment,-3
1524,hard,-1
1525,hardier,2
1526,hardship,-2
1527,hardy,2
1528,harm,-2
1529,harmed,-2
1530,harmful,-2
1531,harming,-2
1532,harmony,2
1533,harmonious,2
1534,harmoniously,2
1535,harms,-2
1536,harried,-2
